item_id,item_name,category,warehouse_id,stock_level,restock_threshold,supplier_id,cost_per_unit,selling_price,profit_margin,last_restock_date
I0027,Item_27,Furniture,W005,108,6,S014,223.71,377.26,0.17,2024-12-23 18:21:16.954038
I0028,Item_28,Toys,W009,240,38,S005,85.87,774.43,0.3,2024-09-21 18:21:16.954043
I0029,Item_29,Food,W004,354,12,S006,96.31,178.76,0.43,2024-03-05 18:21:16.954049
I0030,Item_30,Electronics,W003,423,17,S010,105.14,390.67,0.37,2024-04-08 18:21:16.954054
I0031,Item_31,Toys,W004,141,46,S008,196.42,353.49,0.24,2024-09-09 18:21:16.954060
I0032,Item_32,Furniture,W005,290,12,S014,30.32,437.49,0.47,2024-09-11 18:21:16.954066
I0033,Item_33,Food,W006,431,34,S003,201.91,783.96,0.46,2024-12-01 18:21:16.954071
I0034,Item_34,Toys,W003,236,36,S012,258.3,489.33,0.18,2024-10-10 18:21:16.954077
I0035,Item_35,Toys,W002,339,40,S016,244.23,796.07,0.12,2024-08-19 18:21:16.954082
I0036,Item_36,Toys,W004,311,34,S017,194.48,580.72,0.4,2025-02-22 18:21:16.954088
I0037,Item_37,Food,W005,176,5,S001,420.38,348.65,0.43,2024-11-10 18:21:16.954094
I0038,Item_38,Food,W004,140,47,S010,76.94,811.88,0.49,2024-02-26 18:21:16.954099
I0039,Item_39,Clothing,W003,188,43,S010,255.32,245.91,0.46,2024-12-14 18:21:16.954105
I0040,Item_40,Furniture,W008,485,21,S002,35.71,232.14,0.34,2024-10-21 18:21:16.954111
I0041,Item_41,Electronics,W010,48,24,S009,40.22,509.46,0.31,2024-09-07 18:21:16.954116
I0042,Item_42,Toys,W004,301,28,S013,289.06,268.24,0.11,2024-08-03 18:21:16.954122
I0043,Item_43,Clothing,W002,368,26,S016,285.18,19.0,0.2,2024-04-17 18:21:16.954128
I0044,Item_44,Electronics,W002,189,33,S018,439.63,651.81,0.28,2024-03-24 18:21:16.954134
I0045,Item_45,Clothing,W001,135,26,S019,281.15,515.98,0.35,2024-08-13 18:21:16.954139
I0046,Item_46,Food,W004,42,48,S012,480.1,451.06,0.32,2024-09-19 18:21:16.954144
I0047,Item_47,Toys,W010,403,13,S008,29.1,967.3,0.4,2024-10-06 18:21:16.954150
I0048,Item_48,Electronics,W009,379,41,S017,53.51,575.49,0.21,2024-05-25 18:21:16.954159
I0049,Item_49,Electronics,W007,352,14,S015,26.81,864.8,0.33,2025-02-17 18:21:16.954169
I0050,Item_50,Electronics,W010,89,40,S010,96.71,148.06,0.14,2025-01-01 18:21:16.954178
I0051,Item_51,Electronics,W007,294,41,S015,272.93,573.51,0.27,2024-11-12 18:21:16.954187
I0052,Item_52,Electronics,W007,340,32,S015,324.56,869.3,0.4,2024-03-19 18:21:16.954196
I0053,Item_53,Clothing,W008,244,32,S007,27.56,587.27,0.38,2024-03-23 18:21:16.954206
I0054,Item_54,Toys,W001,432,46,S013,473.26,720.83,0.5,2024-12-25 18:21:16.954211
I0055,Item_55,Food,W010,191,47,S017,421.87,378.32,0.21,2024-11-29 18:21:16.954217
I0056,Item_56,Food,W010,317,25,S009,151.82,101.53,0.3,2024-06-11 18:21:16.954223
I0057,Item_57,Food,W008,105,28,S008,43.21,463.32,0.23,2024-08-30 18:21:16.954229
I0058,Item_58,Food,W004,362,46,S020,89.09,400.53,0.28,2024-06-27 18:21:16.954234
I0059,Item_59,Clothing,W004,309,44,S018,67.84,868.39,0.44,2024-08-05 18:21:16.954240
I0060,Item_60,Furniture,W004,381,6,S013,66.03,251.56,0.37,2025-01-24 18:21:16.954245
I0061,Item_61,Toys,W006,232,12,S016,261.69,967.07,0.45,2024-05-11 18:21:16.954251
I0062,Item_62,Electronics,W007,264,31,S009,126.69,958.56,0.18,2024-12-06 18:21:16.954256
I0063,Item_63,Furniture,W006,343,26,S012,182.28,255.16,0.45,2025-02-13 18:21:16.954261
I0064,Item_64,Food,W001,36,41,S012,494.81,354.57,0.12,2024-06-15 18:21:16.954267
I0065,Item_65,Furniture,W008,304,31,S006,343.74,896.6,0.46,2024-05-13 18:21:16.954273
I0066,Item_66,Toys,W010,40,33,S019,474.75,966.96,0.23,2024-09-01 18:21:16.954279
I0067,Item_67,Electronics,W007,16,7,S007,75.57,449.0,0.23,2024-10-21 18:21:16.954284
I0068,Item_68,Electronics,W006,343,48,S003,194.16,327.79,0.3,2025-01-08 18:21:16.954291
I0069,Item_69,Toys,W006,276,17,S016,279.59,530.83,0.48,2024-08-02 18:21:16.954300
I0070,Item_70,Toys,W005,306,49,S018,43.0,690.89,0.12,2024-11-09 18:21:16.954308
I0071,Item_71,Food,W006,58,14,S016,7.07,280.74,0.24,2024-05-25 18:21:16.954317
I0072,Item_72,Electronics,W009,422,40,S007,336.86,739.11,0.44,2024-03-24 18:21:16.954326
I0073,Item_73,Furniture,W010,182,13,S004,322.7,61.14,0.26,2024-10-24 18:21:16.954335
I0074,Item_74,Clothing,W009,40,31,S008,208.34,58.8,0.18,2024-10-13 18:21:16.954344
I0075,Item_75,Clothing,W010,38,38,S013,247.37,392.42,0.27,2024-11-09 18:21:16.954464
I0076,Item_76,Toys,W008,396,5,S013,210.64,359.94,0.25,2024-04-25 18:21:16.954475
I0077,Item_77,Food,W010,191,36,S017,16.88,322.48,0.47,2024-04-01 18:21:16.954484
I0078,Item_78,Clothing,W009,266,29,S017,171.01,496.11,0.4,2025-01-05 18:21:16.954495
I0079,Item_79,Electronics,W010,493,33,S005,92.66,327.53,0.3,2024-03-24 18:21:16.954504
I0080,Item_80,Toys,W008,146,11,S006,53.72,200.34,0.5,2024-11-21 18:21:16.954512
I0081,Item_81,Furniture,W008,394,7,S019,478.58,316.37,0.29,2024-06-01 18:21:16.954533
I0082,Item_82,Toys,W001,332,24,S013,301.68,975.16,0.12,2025-02-01 18:21:16.954541
I0083,Item_83,Furniture,W010,126,24,S014,365.68,417.0,0.2,2025-01-01 18:21:16.954546
I0084,Item_84,Toys,W005,45,34,S004,161.11,450.27,0.27,2024-06-15 18:21:16.954552
I0085,Item_85,Toys,W004,44,39,S007,199.61,580.78,0.16,2024-07-04 18:21:16.954557
I0086,Item_86,Toys,W002,0,39,S008,122.28,983.51,0.48,2024-12-27 18:21:16.954563
I0087,Item_87,Furniture,W008,167,43,S013,53.0,249.19,0.41,2024-09-13 18:21:16.954571
I0088,Item_88,Furniture,W003,107,31,S006,93.62,684.47,0.21,2024-06-10 18:21:16.954580
I0089,Item_89,Toys,W004,18,30,S006,399.77,718.82,0.34,2024-04-16 18:21:16.954589
I0090,Item_90,Clothing,W007,331,18,S003,340.39,611.25,0.39,2024-07-23 18:21:16.954598
I0091,Item_91,Food,W010,71,21,S003,275.73,97.69,0.48,2024-08-25 18:21:16.954607
I0092,Item_92,Food,W009,455,22,S013,240.17,680.1,0.45,2024-12-29 18:21:16.954616
I0093,Item_93,Food,W002,444,49,S002,461.6,73.45,0.31,2024-10-02 18:21:16.954622
I0094,Item_94,Furniture,W003,108,33,S016,41.0,600.18,0.41,2024-11-26 18:21:16.954628
I0095,Item_95,Furniture,W004,267,24,S006,143.9,742.19,0.32,2024-04-19 18:21:16.954633
I0096,Item_96,Clothing,W010,444,31,S008,178.22,218.86,0.32,2025-01-10 18:21:16.954638
I0097,Item_97,Food,W001,239,22,S008,392.3,843.21,0.15,2024-06-12 18:21:16.954644
I0098,Item_98,Food,W007,416,8,S006,496.29,40.05,0.15,2025-02-03 18:21:16.954650
I0099,Item_99,Toys,W002,300,5,S014,124.13,845.37,0.31,2025-02-03 18:21:16.954655
I0100,Item_100,Furniture,W005,89,5,S003,437.78,465.73,0.21,2025-01-03 18:21:16.954661
I0101,Item_101,Food,W001,102,30,S010,416.16,225.41,0.11,2024-03-23 18:21:16.954666
I0102,Item_102,Clothing,W003,475,49,S003,116.21,142.44,0.39,2024-09-06 18:21:16.954671
I0103,Item_103,Clothing,W002,249,24,S012,202.67,953.77,0.11,2024-12-19 18:21:16.954677
I0104,Item_104,Food,W001,452,27,S017,207.79,81.94,0.34,2024-11-03 18:21:16.954682
I0105,Item_105,Furniture,W007,7,14,S005,489.22,207.1,0.32,2024-04-30 18:21:16.954687
I0106,Item_106,Clothing,W005,152,15,S020,94.54,354.34,0.49,2024-09-17 18:21:16.954693
I0107,Item_107,Toys,W001,346,45,S009,400.58,624.03,0.29,2024-06-03 18:21:16.954698
I0108,Item_108,Clothing,W006,173,45,S020,170.43,549.35,0.13,2024-04-10 18:21:16.954703
I0109,Item_109,Electronics,W005,342,9,S007,366.78,134.39,0.32,2024-07-07 18:21:16.954709
I0110,Item_110,Electronics,W003,157,5,S004,212.91,296.83,0.44,2024-04-05 18:21:16.954715
I0111,Item_111,Furniture,W007,492,21,S013,291.29,246.36,0.5,2024-12-18 18:21:16.954725
I0112,Item_112,Food,W010,430,26,S013,417.14,221.41,0.27,2025-01-27 18:21:16.954733
I0113,Item_113,Furniture,W009,214,38,S010,403.06,417.03,0.23,2024-10-31 18:21:16.954745
I0114,Item_114,Furniture,W009,176,49,S018,433.88,706.99,0.46,2025-01-04 18:21:16.954754
I0115,Item_115,Furniture,W009,174,45,S017,34.51,225.28,0.18,2024-08-27 18:21:16.954759
I0116,Item_116,Furniture,W002,339,33,S020,347.57,373.01,0.35,2024-06-09 18:21:16.954764
I0117,Item_117,Toys,W003,337,8,S020,74.29,397.01,0.26,2024-12-07 18:21:16.954770
I0118,Item_118,Toys,W007,145,9,S013,210.83,976.69,0.12,2024-05-27 18:21:16.954775
I0119,Item_119,Clothing,W005,449,15,S017,276.55,955.12,0.24,2024-11-08 18:21:16.954781
I0120,Item_120,Electronics,W002,323,25,S004,204.36,802.14,0.21,2024-12-12 18:21:16.954786
I0121,Item_121,Furniture,W003,477,39,S001,262.21,249.24,0.37,2024-09-02 18:21:16.954791
I0122,Item_122,Clothing,W010,160,16,S001,498.28,77.36,0.48,2024-08-24 18:21:16.954798
I0123,Item_123,Electronics,W006,126,30,S015,71.93,323.74,0.21,2025-02-01 18:21:16.954807
I0124,Item_124,Food,W007,419,23,S013,339.35,274.13,0.42,2024-05-26 18:21:16.954815
I0125,Item_125,Toys,W009,81,49,S017,201.02,510.87,0.12,2024-10-18 18:21:16.954823
I0126,Item_126,Electronics,W001,484,11,S008,70.84,779.95,0.32,2024-05-09 18:21:16.954829
I0127,Item_127,Food,W007,146,11,S018,83.57,859.74,0.13,2024-04-10 18:21:16.954834
I0128,Item_128,Electronics,W008,238,30,S013,474.89,846.42,0.47,2024-08-22 18:21:16.954840
I0129,Item_129,Toys,W003,411,44,S014,440.4,366.08,0.41,2024-12-27 18:21:16.954846
I0130,Item_130,Toys,W004,423,9,S008,453.99,690.36,0.36,2025-02-23 18:21:16.954852
I0131,Item_131,Clothing,W010,83,25,S008,495.81,319.71,0.43,2024-10-16 18:21:16.954858
I0132,Item_132,Furniture,W006,112,18,S015,108.12,70.3,0.36,2024-12-19 18:21:16.954863
I0133,Item_133,Electronics,W010,224,8,S013,180.94,704.55,0.49,2024-05-07 18:21:16.954869
I0134,Item_134,Electronics,W007,331,27,S007,336.26,19.73,0.39,2024-05-15 18:21:16.954874
I0135,Item_135,Food,W004,377,46,S005,244.48,415.09,0.47,2024-11-27 18:21:16.954880
I0136,Item_136,Toys,W008,242,24,S017,212.1,336.09,0.31,2024-11-16 18:21:16.954885
I0137,Item_137,Electronics,W005,142,19,S016,182.12,696.44,0.15,2024-08-19 18:21:16.954902
I0138,Item_138,Toys,W001,40,49,S002,298.92,768.58,0.31,2024-03-15 18:21:16.954908
I0139,Item_139,Electronics,W004,422,33,S018,289.92,311.05,0.15,2024-06-28 18:21:16.954914
I0140,Item_140,Clothing,W003,257,12,S017,84.92,813.51,0.34,2024-05-30 18:21:16.954919
I0141,Item_141,Furniture,W009,446,45,S007,238.51,300.98,0.29,2024-07-20 18:21:16.954925
I0142,Item_142,Electronics,W008,284,23,S013,278.97,451.86,0.35,2024-09-01 18:21:16.954930
I0143,Item_143,Toys,W001,104,43,S018,287.29,729.75,0.1,2024-03-20 18:21:16.954936
I0144,Item_144,Clothing,W006,201,32,S014,109.0,695.99,0.18,2024-07-06 18:21:16.954942
I0145,Item_145,Electronics,W009,449,31,S018,372.42,987.49,0.3,2024-09-26 18:21:16.954947
I0146,Item_146,Food,W007,306,8,S013,17.47,232.91,0.48,2024-05-23 18:21:16.954952
I0147,Item_147,Furniture,W004,330,19,S011,180.64,665.69,0.25,2024-07-10 18:21:16.954958
I0148,Item_148,Electronics,W001,460,39,S016,391.21,613.59,0.27,2024-09-06 18:21:16.954963
I0149,Item_149,Clothing,W002,265,41,S017,284.13,915.95,0.39,2024-07-16 18:21:16.954969
I0150,Item_150,Food,W005,397,5,S008,134.28,164.8,0.34,2024-07-26 18:21:16.954974
I0151,Item_151,Clothing,W005,209,7,S019,349.0,754.28,0.22,2024-05-18 18:21:16.954980
I0152,Item_152,Clothing,W008,50,28,S020,285.86,572.59,0.26,2025-01-14 18:21:16.954986
I0153,Item_153,Food,W006,117,31,S015,399.14,281.92,0.19,2024-10-25 18:21:16.954991
I0154,Item_154,Clothing,W008,200,44,S009,368.84,479.69,0.49,2024-07-12 18:21:16.954997
I0155,Item_155,Food,W002,376,40,S020,307.0,340.44,0.15,2024-05-06 18:21:16.955002
I0156,Item_156,Electronics,W003,38,38,S010,246.65,583.52,0.25,2024-11-28 18:21:16.955008
I0157,Item_157,Food,W006,27,33,S012,70.93,890.11,0.11,2024-06-02 18:21:16.955014
I0158,Item_158,Food,W010,258,28,S020,134.36,573.61,0.19,2025-01-26 18:21:16.955019
I0159,Item_159,Furniture,W003,83,28,S001,212.45,635.41,0.41,2024-06-22 18:21:16.955024
I0160,Item_160,Food,W006,453,46,S020,301.65,523.56,0.18,2024-04-14 18:21:16.955030
I0161,Item_161,Food,W006,154,8,S009,259.29,60.65,0.13,2024-06-25 18:21:16.955035
I0162,Item_162,Electronics,W002,116,7,S015,147.65,240.53,0.29,2024-12-25 18:21:16.955041
I0163,Item_163,Furniture,W007,1,38,S001,8.2,497.08,0.1,2024-09-30 18:21:16.955046
I0164,Item_164,Toys,W002,92,27,S012,250.64,317.13,0.13,2024-09-03 18:21:16.955052
I0165,Item_165,Electronics,W006,165,27,S003,146.38,189.95,0.42,2024-05-22 18:21:16.955057
I0166,Item_166,Electronics,W001,386,49,S011,368.63,509.09,0.41,2024-03-27 18:21:16.955063
I0167,Item_167,Toys,W003,399,9,S002,16.85,329.58,0.47,2024-10-05 18:21:16.955068
I0168,Item_168,Food,W002,349,35,S016,294.49,265.53,0.44,2025-01-11 18:21:16.955074
I0169,Item_169,Clothing,W007,295,45,S009,471.03,469.35,0.37,2024-10-03 18:21:16.955079
I0170,Item_170,Furniture,W004,257,10,S015,91.33,141.95,0.12,2024-03-08 18:21:16.955084
I0171,Item_171,Clothing,W008,80,41,S012,238.47,928.47,0.41,2024-03-28 18:21:16.955090
I0172,Item_172,Toys,W006,424,14,S001,50.25,869.03,0.44,2024-12-31 18:21:16.955095
I0173,Item_173,Electronics,W010,267,44,S013,314.71,710.54,0.42,2024-04-23 18:21:16.955101
I0174,Item_174,Electronics,W004,418,11,S014,277.51,115.15,0.3,2024-03-03 18:21:16.955107
I0175,Item_175,Furniture,W005,234,43,S008,206.65,778.12,0.19,2024-09-16 18:21:16.955112
I0176,Item_176,Electronics,W009,320,42,S008,263.08,809.88,0.44,2024-05-15 18:21:16.955118
I0177,Item_177,Electronics,W007,310,25,S012,448.8,770.09,0.39,2024-04-05 18:21:16.955123
I0178,Item_178,Furniture,W010,300,24,S001,102.17,122.83,0.49,2024-08-10 18:21:16.955129
I0179,Item_179,Furniture,W009,462,7,S011,16.17,647.47,0.16,2024-09-18 18:21:16.955134
I0180,Item_180,Toys,W007,473,26,S008,431.52,835.98,0.19,2024-12-06 18:21:16.955140
I0181,Item_181,Electronics,W001,356,8,S010,290.67,581.58,0.18,2025-01-24 18:21:16.955145
I0182,Item_182,Electronics,W008,212,32,S019,445.88,649.94,0.42,2024-11-04 18:21:16.955150
I0183,Item_183,Toys,W004,61,16,S011,300.49,463.78,0.17,2025-01-09 18:21:16.955156
I0184,Item_184,Food,W003,48,42,S007,406.03,533.42,0.13,2024-03-08 18:21:16.955161
I0185,Item_185,Food,W007,126,40,S011,217.69,44.03,0.5,2024-08-03 18:21:16.955167
I0186,Item_186,Food,W003,222,45,S017,376.18,642.57,0.11,2025-01-03 18:21:16.955172
I0187,Item_187,Toys,W008,408,9,S001,456.96,90.63,0.43,2024-10-09 18:21:16.955177
I0188,Item_188,Electronics,W006,278,17,S008,288.2,440.66,0.25,2024-12-12 18:21:16.955183
I0189,Item_189,Toys,W005,407,27,S006,94.49,299.73,0.44,2025-01-14 18:21:16.955188
I0190,Item_190,Toys,W004,293,34,S018,138.05,549.97,0.32,2024-12-09 18:21:16.955193
I0191,Item_191,Food,W008,283,41,S006,103.33,142.08,0.46,2024-08-21 18:21:16.955199
I0192,Item_192,Clothing,W008,276,29,S005,127.19,694.73,0.47,2025-01-03 18:21:16.955204
I0193,Item_193,Electronics,W001,437,31,S013,156.68,797.06,0.1,2024-11-29 18:21:16.955209
I0194,Item_194,Food,W009,106,18,S019,279.79,171.72,0.13,2024-11-07 18:21:16.955215
I0195,Item_195,Clothing,W005,145,40,S008,296.06,113.27,0.2,2024-07-14 18:21:16.955220
I0196,Item_196,Clothing,W004,419,43,S009,216.12,154.06,0.37,2024-06-21 18:21:16.955226
I0197,Item_197,Furniture,W006,98,20,S017,309.63,878.36,0.46,2024-12-17 18:21:16.955233
I0198,Item_198,Electronics,W006,428,26,S003,45.38,532.91,0.28,2024-10-27 18:21:16.955241
I0199,Item_199,Clothing,W002,374,25,S019,48.46,472.59,0.34,2024-12-19 18:21:16.955250
I0200,Item_200,Food,W008,72,25,S011,90.06,115.64,0.18,2024-12-25 18:21:16.955261
I0201,Item_201,Furniture,W007,436,12,S017,261.45,653.06,0.42,2024-04-03 18:21:16.955269
I0202,Item_202,Electronics,W001,485,20,S019,110.93,869.32,0.49,2024-08-17 18:21:16.955280
I0203,Item_203,Toys,W005,121,35,S002,145.23,829.9,0.21,2024-08-19 18:21:16.955287
I0204,Item_204,Food,W006,29,46,S008,203.15,629.79,0.3,2024-09-26 18:21:16.955292
I0205,Item_205,Clothing,W004,187,14,S019,406.87,84.53,0.13,2024-05-14 18:21:16.955297
I0206,Item_206,Clothing,W002,363,36,S007,11.86,121.27,0.32,2024-11-20 18:21:16.955321
I0207,Item_207,Food,W004,353,38,S017,326.44,58.82,0.3,2024-04-18 18:21:16.955331
I0208,Item_208,Clothing,W001,287,13,S006,336.09,264.9,0.16,2024-04-21 18:21:16.955336
I0209,Item_209,Furniture,W007,450,21,S019,400.33,144.3,0.28,2024-06-06 18:21:16.955342
I0210,Item_210,Electronics,W002,194,15,S006,466.71,267.45,0.23,2024-11-19 18:21:16.955348
I0211,Item_211,Furniture,W002,155,36,S002,14.97,391.21,0.31,2024-11-03 18:21:16.955353
I0212,Item_212,Clothing,W009,171,14,S006,81.12,943.55,0.33,2024-10-22 18:21:16.955359
I0213,Item_213,Toys,W005,334,26,S005,443.65,614.27,0.1,2024-10-15 18:21:16.955365
I0214,Item_214,Electronics,W002,40,21,S019,231.97,836.62,0.4,2024-10-26 18:21:16.955370
I0215,Item_215,Electronics,W009,62,8,S020,284.47,713.25,0.39,2024-08-11 18:21:16.955375
I0216,Item_216,Food,W009,22,29,S004,333.2,121.38,0.25,2024-05-06 18:21:16.955381
I0217,Item_217,Food,W001,359,25,S017,341.14,738.56,0.12,2024-10-25 18:21:16.955386
I0218,Item_218,Toys,W003,74,41,S011,466.21,282.35,0.4,2024-05-18 18:21:16.955392
I0219,Item_219,Electronics,W004,47,42,S004,498.49,642.72,0.48,2024-06-09 18:21:16.955397
I0220,Item_220,Toys,W007,159,5,S013,361.48,347.55,0.2,2025-01-16 18:21:16.955403
I0221,Item_221,Food,W010,312,29,S020,147.17,997.7,0.23,2025-01-01 18:21:16.955408
I0222,Item_222,Food,W004,117,40,S017,440.48,270.92,0.17,2024-09-16 18:21:16.955414
I0223,Item_223,Electronics,W002,99,21,S009,29.36,286.34,0.33,2024-05-11 18:21:16.955419
I0224,Item_224,Furniture,W007,379,45,S004,119.39,931.37,0.16,2024-08-08 18:21:16.955425
I0225,Item_225,Clothing,W006,416,28,S014,449.21,34.4,0.24,2024-05-24 18:21:16.955430
I0226,Item_226,Food,W003,407,6,S019,131.81,699.72,0.38,2025-02-08 18:21:16.955439
I0227,Item_227,Food,W006,166,44,S003,114.22,728.07,0.32,2024-09-04 18:21:16.955447
I0228,Item_228,Furniture,W006,289,19,S014,73.37,838.01,0.25,2024-06-21 18:21:16.955456
I0229,Item_229,Furniture,W005,439,36,S008,430.26,974.69,0.27,2024-07-21 18:21:16.955466
I0230,Item_230,Toys,W004,155,43,S001,252.53,975.85,0.32,2024-11-29 18:21:16.955475
I0231,Item_231,Toys,W010,420,10,S010,339.07,74.62,0.1,2024-12-04 18:21:16.955483
I0232,Item_232,Clothing,W001,6,5,S018,123.34,823.62,0.13,2024-12-24 18:21:16.955492
I0233,Item_233,Clothing,W010,195,27,S016,380.23,649.85,0.45,2024-05-13 18:21:16.955501
I0234,Item_234,Electronics,W006,420,43,S008,381.2,650.87,0.13,2025-01-13 18:21:16.955511
I0235,Item_235,Toys,W002,55,21,S001,159.74,137.07,0.38,2025-02-12 18:21:16.955520
I0236,Item_236,Food,W003,320,38,S012,208.29,653.69,0.47,2024-04-09 18:21:16.955529
I0237,Item_237,Toys,W008,192,45,S008,108.8,982.66,0.21,2024-07-05 18:21:16.955539
I0238,Item_238,Food,W010,46,33,S016,488.4,912.7,0.25,2024-04-01 18:21:16.955549
I0239,Item_239,Furniture,W006,147,13,S018,324.57,444.74,0.33,2024-10-16 18:21:16.955558
I0240,Item_240,Toys,W003,274,17,S004,467.6,49.55,0.45,2024-11-01 18:21:16.955567
I0241,Item_241,Furniture,W007,156,10,S006,155.18,368.67,0.48,2024-07-21 18:21:16.955577
I0242,Item_242,Clothing,W004,201,10,S012,392.04,828.13,0.4,2024-10-10 18:21:16.955586
I0243,Item_243,Clothing,W009,443,24,S009,384.1,704.48,0.13,2024-11-10 18:21:16.955595
I0244,Item_244,Electronics,W005,401,7,S015,347.37,464.75,0.37,2024-08-29 18:21:16.955604
I0245,Item_245,Toys,W003,475,21,S016,482.99,64.55,0.26,2025-02-08 18:21:16.955613
I0246,Item_246,Furniture,W002,418,16,S012,199.81,432.63,0.29,2024-06-27 18:21:16.955622
I0247,Item_247,Food,W002,426,49,S014,69.71,474.33,0.12,2024-03-27 18:21:16.955632
I0248,Item_248,Clothing,W003,494,5,S013,337.5,929.27,0.18,2024-07-13 18:21:16.955641
I0249,Item_249,Clothing,W002,478,21,S002,366.01,644.68,0.42,2024-06-27 18:21:16.955651
I0250,Item_250,Food,W004,474,7,S003,289.65,318.54,0.28,2024-10-06 18:21:16.955661
I0251,Item_251,Furniture,W002,125,30,S010,107.37,530.07,0.22,2024-08-09 18:21:16.955669
I0252,Item_252,Furniture,W010,394,19,S009,254.71,75.39,0.25,2024-11-04 18:21:16.955679
I0253,Item_253,Toys,W009,304,40,S020,159.53,972.84,0.44,2024-10-20 18:21:16.955688
I0254,Item_254,Toys,W002,368,36,S008,216.6,366.46,0.4,2025-02-03 18:21:16.955697
I0255,Item_255,Electronics,W009,293,36,S010,324.38,483.09,0.21,2024-09-30 18:21:16.955707
I0256,Item_256,Clothing,W006,63,8,S019,373.88,361.73,0.15,2024-11-27 18:21:16.955722
I0257,Item_257,Toys,W001,324,22,S003,119.95,685.69,0.2,2024-04-27 18:21:16.955731
I0258,Item_258,Furniture,W004,391,23,S005,205.64,665.61,0.47,2024-08-05 18:21:16.955741
I0259,Item_259,Food,W001,417,47,S003,138.23,718.17,0.33,2024-12-01 18:21:16.955751
I0260,Item_260,Furniture,W006,175,39,S016,103.32,275.46,0.31,2024-09-10 18:21:16.955761
I0261,Item_261,Clothing,W004,115,44,S017,392.78,322.51,0.34,2024-12-14 18:21:16.955772
I0262,Item_262,Furniture,W003,439,18,S015,455.08,134.0,0.25,2024-05-02 18:21:16.955781
I0263,Item_263,Electronics,W003,203,37,S003,188.26,658.95,0.42,2025-02-15 18:21:16.955792
I0264,Item_264,Clothing,W009,485,18,S012,376.88,49.4,0.31,2024-05-19 18:21:16.955801
I0265,Item_265,Food,W006,320,38,S009,449.01,601.71,0.15,2024-06-11 18:21:16.955811
I0266,Item_266,Electronics,W009,30,8,S012,423.83,871.0,0.15,2024-05-25 18:21:16.955822
I0267,Item_267,Clothing,W005,387,28,S015,95.49,891.92,0.31,2024-07-01 18:21:16.955832
I0268,Item_268,Food,W002,112,33,S002,478.36,454.55,0.47,2025-02-04 18:21:16.955842
I0269,Item_269,Electronics,W008,364,23,S018,191.45,464.71,0.22,2024-07-06 18:21:16.955852
I0270,Item_270,Electronics,W005,433,10,S020,172.92,86.2,0.45,2024-07-18 18:21:16.955862
