transaction_id,user_id,item_id,category,warehouse_id,quantity,price_per_unit,total_price,timestamp,discount_applied,payment_method
T00047,U307,I0047,Clothing,W007,3,149.94,449.82,2025-01-18 18:21:16.969550,43,Net Banking
T00048,U097,I0043,Clothing,W010,1,402.5,402.5,2024-09-22 18:21:16.969556,27,Debit Card
T00049,U375,I0321,Clothing,W003,9,76.32,686.8799999999999,2025-01-23 18:21:16.969564,22,Debit Card
T00050,U095,I0818,Food,W002,3,760.97,2282.91,2024-10-08 18:21:16.969573,41,PayPal
T00051,U326,I0221,Furniture,W003,8,453.26,3626.08,2024-12-28 18:21:16.969581,33,Net Banking
T00052,U074,I0513,Electronics,W007,6,709.86,4259.16,2024-12-09 18:21:16.969590,30,Net Banking
T00053,U336,I0712,Food,W005,3,328.97,986.9100000000001,2024-09-14 18:21:16.969599,6,PayPal
T00054,U068,I0441,Clothing,W003,9,845.87,7612.83,2025-02-07 18:21:16.969609,6,Credit Card
T00055,U246,I0144,Electronics,W009,8,539.48,4315.84,2024-09-19 18:21:16.969619,3,Debit Card
T00056,U406,I0890,Furniture,W002,3,944.17,2832.5099999999998,2024-10-01 18:21:16.969628,43,Credit Card
T00057,U077,I0028,Toys,W007,7,88.03,616.21,2025-01-25 18:21:16.969637,31,Credit Card
T00058,U208,I0854,Clothing,W010,5,519.13,2595.65,2024-11-26 18:21:16.969642,27,Net Banking
T00059,U372,I0850,Clothing,W006,2,768.79,1537.58,2024-10-28 18:21:16.969648,3,PayPal
T00060,U254,I0790,Clothing,W006,8,604.15,4833.2,2025-02-08 18:21:16.969653,38,Debit Card
T00061,U221,I0553,Clothing,W007,1,32.96,32.96,2024-12-11 18:21:16.969658,44,Credit Card
T00062,U262,I0844,Electronics,W006,4,972.62,3890.48,2025-02-20 18:21:16.969664,7,Credit Card
T00063,U410,I0659,Furniture,W002,4,305.28,1221.12,2024-10-20 18:21:16.969669,13,Net Banking
T00064,U331,I0857,Food,W005,5,256.79,1283.95,2024-11-11 18:21:16.969674,29,Net Banking
T00065,U344,I0690,Electronics,W003,4,490.8,1963.2,2024-10-04 18:21:16.969682,2,Net Banking
T00066,U477,I0827,Furniture,W009,1,546.74,546.74,2024-09-22 18:21:16.969692,1,PayPal
T00067,U259,I0837,Food,W008,7,768.63,5380.41,2025-02-20 18:21:16.969700,9,Debit Card
T00068,U308,I0930,Clothing,W010,2,399.34,798.68,2024-09-14 18:21:16.969709,5,Debit Card
T00069,U074,I0167,Furniture,W002,3,445.56,1336.68,2024-12-01 18:21:16.969718,6,Net Banking
T00070,U125,I0635,Clothing,W001,5,539.61,2698.05,2024-12-23 18:21:16.969726,15,Credit Card
T00071,U188,I0586,Furniture,W004,8,400.44,3203.52,2024-11-16 18:21:16.969731,5,Net Banking
T00072,U254,I0751,Toys,W004,8,915.4,7323.2,2024-12-20 18:21:16.969736,15,Net Banking
T00073,U447,I0249,Clothing,W010,2,852.74,1705.48,2025-01-16 18:21:16.969742,26,PayPal
T00074,U321,I0775,Clothing,W002,9,460.42,4143.78,2024-09-21 18:21:16.969747,11,Net Banking
T00075,U308,I0764,Clothing,W007,6,10.19,61.14,2024-09-15 18:21:16.969753,21,Debit Card
T00076,U235,I0357,Electronics,W003,9,901.93,8117.37,2024-09-16 18:21:16.969758,14,Net Banking
T00077,U474,I0111,Food,W007,4,133.09,532.36,2024-08-30 18:21:16.969763,21,Debit Card
T00078,U250,I0692,Clothing,W007,3,252.07,756.21,2024-12-14 18:21:16.969769,34,Credit Card
T00079,U332,I0700,Clothing,W001,5,160.84,804.2,2024-12-14 18:21:16.969774,47,Debit Card
T00080,U398,I0820,Electronics,W006,5,188.02,940.1,2025-01-13 18:21:16.969780,49,Debit Card
T00081,U345,I0719,Electronics,W004,4,804.85,3219.4,2024-11-30 18:21:16.969785,14,Net Banking
T00082,U072,I0234,Toys,W008,7,583.71,4085.9700000000003,2024-11-25 18:21:16.969790,22,Debit Card
T00083,U235,I0024,Furniture,W008,8,956.53,7652.24,2025-01-27 18:21:16.969795,37,Debit Card
T00084,U324,I0026,Clothing,W003,5,239.14,1195.6999999999998,2024-09-22 18:21:16.969801,48,Credit Card
T00085,U156,I0381,Furniture,W004,9,490.78,4417.0199999999995,2024-10-28 18:21:16.969806,1,Debit Card
T00086,U455,I0730,Electronics,W001,7,977.65,6843.55,2024-10-18 18:21:16.969811,1,Debit Card
T00087,U394,I0346,Electronics,W010,7,828.18,5797.259999999999,2024-11-25 18:21:16.969817,48,Net Banking
T00088,U115,I0378,Toys,W002,8,731.33,5850.64,2025-02-16 18:21:16.969822,18,PayPal
T00089,U313,I0522,Food,W007,4,197.09,788.36,2024-10-26 18:21:16.969827,4,Net Banking
T00090,U228,I0017,Electronics,W007,6,771.71,4630.26,2025-01-09 18:21:16.969832,3,Credit Card
T00091,U322,I0245,Clothing,W009,5,354.09,1770.4499999999998,2025-01-31 18:21:16.969839,27,Net Banking
T00092,U346,I0718,Toys,W010,1,535.23,535.23,2024-11-01 18:21:16.969848,17,Debit Card
T00093,U245,I0770,Food,W009,9,613.07,5517.63,2024-09-09 18:21:16.969857,39,PayPal
T00094,U306,I0624,Toys,W009,2,613.27,1226.54,2024-08-29 18:21:16.969866,40,Net Banking
T00095,U014,I0717,Electronics,W006,6,729.26,4375.5599999999995,2024-10-28 18:21:16.969876,49,Net Banking
T00096,U016,I0539,Food,W008,8,665.09,5320.72,2025-01-31 18:21:16.969883,30,Credit Card
T00097,U438,I0969,Furniture,W009,3,77.69,233.07,2025-02-02 18:21:16.969889,21,Debit Card
T00098,U427,I0583,Food,W007,5,462.77,2313.85,2024-12-18 18:21:16.969894,10,Net Banking
T00099,U042,I0688,Clothing,W004,7,667.38,4671.66,2024-10-11 18:21:16.969899,47,Net Banking
T00100,U465,I0202,Furniture,W004,4,303.03,1212.12,2024-12-28 18:21:16.969905,15,PayPal
T00101,U110,I0248,Furniture,W006,5,319.93,1599.65,2025-02-09 18:21:16.969923,3,Credit Card
T00102,U278,I0118,Clothing,W004,1,133.32,133.32,2025-02-16 18:21:16.969932,20,Debit Card
T00103,U324,I0009,Furniture,W007,4,424.43,1697.72,2024-09-07 18:21:16.969941,40,Net Banking
T00104,U019,I0598,Electronics,W008,7,986.96,6908.72,2024-09-10 18:21:16.969950,44,PayPal
T00105,U066,I0023,Food,W008,7,292.47,2047.2900000000002,2025-01-20 18:21:16.969956,24,Net Banking
T00106,U167,I0967,Food,W008,4,536.12,2144.48,2024-09-08 18:21:16.969961,19,Net Banking
T00107,U073,I0240,Clothing,W002,6,745.8,4474.799999999999,2025-01-07 18:21:16.969967,7,Credit Card
T00108,U403,I0585,Electronics,W010,5,23.36,116.8,2024-11-20 18:21:16.969972,42,PayPal
T00109,U400,I0027,Furniture,W002,1,901.44,901.44,2024-12-15 18:21:16.969978,8,PayPal
T00110,U310,I0984,Food,W002,8,392.68,3141.44,2025-01-11 18:21:16.969984,17,Debit Card
T00111,U409,I0861,Food,W002,7,870.42,6092.94,2024-11-19 18:21:16.969990,30,Net Banking
T00112,U112,I0081,Food,W004,5,48.56,242.8,2025-01-20 18:21:16.969995,34,PayPal
T00113,U274,I0596,Food,W005,7,154.21,1079.47,2025-01-28 18:21:16.970000,29,Net Banking
T00114,U407,I0199,Toys,W004,3,329.3,987.9000000000001,2024-12-16 18:21:16.970006,17,Net Banking
T00115,U373,I0555,Clothing,W005,8,352.01,2816.08,2024-12-20 18:21:16.970011,18,Debit Card
T00116,U085,I1000,Furniture,W004,5,849.32,4246.6,2024-12-15 18:21:16.970016,40,Debit Card
T00117,U139,I0775,Furniture,W007,2,21.09,42.18,2024-12-06 18:21:16.970022,23,PayPal
T00118,U039,I0092,Clothing,W010,2,644.7,1289.4,2025-01-26 18:21:16.970029,49,Net Banking
T00119,U105,I0851,Electronics,W001,4,140.0,560.0,2025-01-24 18:21:16.970038,21,PayPal
T00120,U324,I0959,Clothing,W001,7,824.98,5774.860000000001,2024-12-18 18:21:16.970047,47,Net Banking
T00121,U281,I0084,Food,W002,4,780.79,3123.16,2025-01-30 18:21:16.970056,13,PayPal
T00122,U447,I0300,Food,W001,9,504.92,4544.28,2024-10-30 18:21:16.970065,18,PayPal
T00123,U480,I0935,Clothing,W010,2,220.56,441.12,2024-10-06 18:21:16.970074,28,Net Banking
T00124,U414,I0296,Clothing,W010,6,638.15,3828.8999999999996,2024-12-05 18:21:16.970083,21,Credit Card
T00125,U429,I0647,Furniture,W003,4,164.7,658.8,2024-09-09 18:21:16.970090,29,Debit Card
T00126,U123,I0454,Furniture,W006,6,198.12,1188.72,2024-11-29 18:21:16.970096,14,Net Banking
T00127,U218,I0281,Toys,W010,9,630.42,5673.78,2024-10-12 18:21:16.970101,20,PayPal
T00128,U377,I0059,Toys,W006,9,991.32,8921.880000000001,2024-09-17 18:21:16.970108,25,Credit Card
T00129,U061,I0909,Food,W001,9,892.15,8029.349999999999,2025-01-31 18:21:16.970117,35,PayPal
T00130,U100,I0871,Toys,W006,9,597.18,5374.62,2025-02-23 18:21:16.970127,11,Credit Card
T00131,U307,I1000,Toys,W005,3,543.15,1629.4499999999998,2024-11-05 18:21:16.970135,6,Net Banking
T00132,U354,I0342,Electronics,W007,9,998.4,8985.6,2025-01-08 18:21:16.970144,10,Debit Card
T00133,U393,I0753,Clothing,W006,3,551.92,1655.7599999999998,2024-08-29 18:21:16.970153,38,PayPal
T00134,U204,I0465,Furniture,W007,3,425.92,1277.76,2025-01-19 18:21:16.970162,19,Credit Card
T00135,U258,I0880,Toys,W002,5,910.46,4552.3,2024-09-22 18:21:16.970171,34,Credit Card
T00136,U486,I0342,Furniture,W001,6,241.84,1451.04,2025-01-13 18:21:16.970180,3,Debit Card
T00137,U005,I0610,Toys,W007,9,106.55,958.9499999999999,2024-12-10 18:21:16.970189,1,PayPal
T00138,U446,I0062,Toys,W009,1,637.75,637.75,2024-11-26 18:21:16.970198,19,Net Banking
T00139,U197,I0776,Food,W002,8,104.89,839.12,2024-11-27 18:21:16.970203,46,Net Banking
T00140,U180,I0625,Electronics,W007,4,379.42,1517.68,2024-12-18 18:21:16.970209,19,PayPal
T00141,U342,I0429,Clothing,W003,7,429.34,3005.3799999999997,2024-12-16 18:21:16.970214,11,Debit Card
T00142,U133,I0658,Clothing,W006,6,552.06,3312.3599999999997,2024-11-06 18:21:16.970220,16,Debit Card
T00143,U443,I0728,Food,W003,6,991.74,5950.4400000000005,2024-10-21 18:21:16.970225,17,Debit Card
T00144,U324,I0256,Food,W010,7,228.77,1601.39,2024-10-06 18:21:16.970230,39,Credit Card
T00145,U253,I0828,Clothing,W005,4,382.0,1528.0,2024-09-24 18:21:16.970235,23,Credit Card
T00146,U265,I0828,Clothing,W002,6,140.92,845.52,2024-11-21 18:21:16.970241,7,Debit Card
T00147,U093,I0874,Electronics,W008,3,611.54,1834.62,2025-02-02 18:21:16.970246,36,PayPal
T00148,U150,I0770,Toys,W008,5,730.4,3652.0,2025-02-03 18:21:16.970251,40,Net Banking
T00149,U411,I0706,Electronics,W007,2,487.26,974.52,2024-10-04 18:21:16.970256,29,Credit Card
T00150,U138,I0347,Clothing,W006,3,253.37,760.11,2024-09-12 18:21:16.970262,19,Debit Card
T00151,U208,I0526,Toys,W001,9,624.68,5622.12,2025-01-10 18:21:16.970267,22,Credit Card
T00152,U490,I0304,Clothing,W008,6,543.77,3262.62,2024-09-23 18:21:16.970273,36,Credit Card
T00153,U125,I0615,Electronics,W001,3,179.47,538.41,2024-11-05 18:21:16.970278,9,Debit Card
T00154,U234,I0245,Electronics,W008,2,411.63,823.26,2024-08-30 18:21:16.970284,32,PayPal
T00155,U061,I0757,Electronics,W002,5,440.85,2204.25,2024-09-14 18:21:16.970289,23,Net Banking
T00156,U307,I0824,Toys,W008,5,982.79,4913.95,2024-09-08 18:21:16.970294,35,PayPal
T00157,U266,I0780,Furniture,W010,1,850.79,850.79,2024-12-14 18:21:16.970299,15,Credit Card
T00158,U134,I0736,Furniture,W004,3,737.03,2211.09,2024-10-31 18:21:16.970304,49,PayPal
T00159,U318,I0732,Clothing,W007,7,889.89,6229.23,2025-02-13 18:21:16.970310,27,PayPal
T00160,U113,I0823,Toys,W005,9,738.13,6643.17,2024-11-28 18:21:16.970315,11,Net Banking
T00161,U389,I0412,Food,W008,5,904.37,4521.85,2024-10-11 18:21:16.970320,19,Debit Card
T00162,U378,I0878,Furniture,W006,4,64.01,256.04,2025-01-01 18:21:16.970325,46,Debit Card
T00163,U454,I0217,Toys,W005,3,461.51,1384.53,2024-10-18 18:21:16.970330,17,Debit Card
T00164,U191,I0516,Toys,W001,9,749.43,6744.87,2025-02-04 18:21:16.970339,36,PayPal
T00165,U379,I0474,Furniture,W003,7,587.46,4112.22,2024-11-16 18:21:16.970362,25,PayPal
T00166,U440,I0036,Toys,W010,7,183.41,1283.87,2025-01-21 18:21:16.970373,45,Net Banking
T00167,U187,I0178,Toys,W009,8,347.09,2776.72,2024-12-29 18:21:16.970381,6,Debit Card
T00168,U319,I0387,Furniture,W009,1,324.6,324.6,2024-10-06 18:21:16.970391,42,Net Banking
T00169,U367,I0769,Electronics,W005,4,268.73,1074.92,2024-10-22 18:21:16.970399,46,Net Banking
T00170,U089,I0017,Clothing,W003,5,349.7,1748.5,2025-01-02 18:21:16.970408,20,PayPal
T00171,U187,I0711,Food,W006,5,519.7,2598.5,2025-01-03 18:21:16.970417,42,Debit Card
T00172,U307,I0830,Clothing,W005,1,856.32,856.32,2024-10-13 18:21:16.970426,31,Credit Card
T00173,U434,I0048,Electronics,W001,3,744.61,2233.83,2025-01-19 18:21:16.970434,6,Credit Card
T00174,U132,I0062,Electronics,W002,2,836.9,1673.8,2024-09-24 18:21:16.970444,22,PayPal
T00175,U360,I0069,Toys,W005,7,884.77,6193.389999999999,2024-11-25 18:21:16.970454,19,PayPal
T00176,U123,I0659,Clothing,W009,5,421.99,2109.95,2024-11-21 18:21:16.970463,19,PayPal
T00177,U048,I0871,Electronics,W004,3,352.57,1057.71,2025-02-21 18:21:16.970472,31,PayPal
T00178,U288,I0366,Clothing,W009,8,67.05,536.4,2025-01-27 18:21:16.970481,25,Credit Card
T00179,U376,I0162,Electronics,W003,1,931.19,931.19,2024-10-25 18:21:16.970490,35,Debit Card
T00180,U179,I0739,Food,W001,1,75.16,75.16,2024-09-11 18:21:16.970499,23,Net Banking
T00181,U180,I0945,Electronics,W006,6,743.72,4462.32,2025-01-21 18:21:16.970508,0,Credit Card
T00182,U099,I0976,Clothing,W010,1,384.33,384.33,2024-12-02 18:21:16.970517,27,Debit Card
T00183,U330,I0488,Toys,W007,4,949.29,3797.16,2024-10-06 18:21:16.970523,25,PayPal
T00184,U034,I0431,Clothing,W004,6,425.41,2552.46,2024-11-05 18:21:16.970529,33,Net Banking
T00185,U420,I0999,Furniture,W010,1,818.44,818.44,2025-02-19 18:21:16.970534,25,Debit Card
T00186,U070,I0859,Clothing,W005,9,289.83,2608.47,2024-10-19 18:21:16.970539,35,Debit Card
T00187,U171,I0489,Food,W004,4,306.1,1224.4,2024-11-28 18:21:16.970544,4,Net Banking
T00188,U366,I0230,Food,W003,9,599.56,5396.039999999999,2024-11-01 18:21:16.970550,1,Debit Card
T00189,U272,I0370,Food,W001,9,998.0,8982.0,2024-11-14 18:21:16.970556,31,Debit Card
T00190,U059,I0178,Electronics,W006,6,522.4,3134.3999999999996,2025-02-07 18:21:16.970561,33,Net Banking
T00191,U181,I0857,Food,W010,7,936.95,6558.650000000001,2025-01-24 18:21:16.970567,49,Net Banking
T00192,U019,I0410,Clothing,W005,1,788.39,788.39,2024-11-24 18:21:16.970572,29,Credit Card
T00193,U226,I0568,Toys,W001,5,797.91,3989.5499999999997,2024-09-16 18:21:16.970578,23,PayPal
T00194,U473,I0590,Food,W005,3,441.6,1324.8000000000002,2024-11-12 18:21:16.970583,27,PayPal
T00195,U095,I0270,Clothing,W006,6,392.68,2356.08,2024-11-23 18:21:16.970589,45,Debit Card
T00196,U369,I0206,Electronics,W010,4,200.0,800.0,2024-10-15 18:21:16.970594,2,PayPal
T00197,U297,I0793,Electronics,W005,9,964.3,8678.699999999999,2024-12-04 18:21:16.970599,49,Credit Card
T00198,U081,I0740,Toys,W001,7,959.8,6718.599999999999,2024-12-31 18:21:16.970604,9,Debit Card
T00199,U175,I0900,Toys,W005,4,749.6,2998.4,2024-09-25 18:21:16.970609,5,PayPal
T00200,U222,I0751,Clothing,W010,6,303.29,1819.7400000000002,2024-09-17 18:21:16.970615,33,PayPal
T00201,U103,I0975,Toys,W001,2,252.73,505.46,2024-12-13 18:21:16.970620,30,Debit Card
T00202,U054,I0800,Toys,W003,3,988.72,2966.16,2025-01-08 18:21:16.970627,42,Net Banking
T00203,U183,I0082,Electronics,W002,7,75.88,531.16,2024-10-03 18:21:16.970636,49,Credit Card
T00204,U351,I0846,Clothing,W001,4,845.13,3380.52,2024-09-28 18:21:16.970645,45,Debit Card
T00205,U403,I0762,Toys,W004,7,361.9,2533.2999999999997,2024-11-22 18:21:16.970654,12,Debit Card
T00206,U318,I0193,Clothing,W002,9,424.68,3822.12,2024-12-19 18:21:16.970663,38,PayPal
T00207,U355,I0618,Food,W005,5,833.66,4168.3,2024-11-19 18:21:16.970672,19,Net Banking
T00208,U349,I0189,Electronics,W010,1,99.7,99.7,2024-09-18 18:21:16.970681,31,PayPal
T00209,U443,I0276,Electronics,W001,5,360.63,1803.15,2024-10-27 18:21:16.970690,9,Debit Card
T00210,U321,I0074,Electronics,W010,6,952.5,5715.0,2024-10-05 18:21:16.970699,25,Debit Card
T00211,U068,I0010,Furniture,W001,2,702.08,1404.16,2024-10-13 18:21:16.970707,18,PayPal
T00212,U028,I0635,Clothing,W010,8,757.39,6059.12,2024-09-20 18:21:16.970713,28,Net Banking
T00213,U274,I0216,Food,W004,2,759.93,1519.86,2025-01-18 18:21:16.970718,12,Debit Card
T00214,U282,I0290,Toys,W007,9,69.96,629.64,2024-09-13 18:21:16.970723,33,Credit Card
T00215,U360,I0445,Food,W002,2,211.18,422.36,2024-11-06 18:21:16.970728,19,Net Banking
T00216,U403,I0988,Clothing,W002,3,496.35,1489.0500000000002,2024-12-08 18:21:16.970734,43,Debit Card
T00217,U311,I0923,Electronics,W001,8,374.47,2995.76,2024-09-06 18:21:16.970739,39,Net Banking
T00218,U119,I0552,Furniture,W005,6,416.8,2500.8,2024-10-29 18:21:16.970744,17,Net Banking
T00219,U380,I0193,Clothing,W006,1,783.63,783.63,2025-01-13 18:21:16.970749,33,Credit Card
T00220,U441,I0639,Clothing,W006,4,24.53,98.12,2024-12-12 18:21:16.970755,47,Debit Card
T00221,U134,I0289,Toys,W002,5,663.89,3319.45,2024-10-22 18:21:16.970760,7,Net Banking
T00222,U129,I0964,Food,W007,3,10.11,30.33,2024-12-26 18:21:16.970768,15,Debit Card
T00223,U008,I0583,Food,W006,1,72.43,72.43,2024-12-22 18:21:16.970777,39,Debit Card
T00224,U481,I0649,Toys,W008,3,414.2,1242.6,2024-12-28 18:21:16.970786,22,Net Banking
T00225,U051,I0144,Furniture,W006,9,842.54,7582.86,2025-02-22 18:21:16.970795,31,PayPal
T00226,U491,I0389,Electronics,W009,2,153.55,307.1,2024-12-08 18:21:16.970804,12,Net Banking
T00227,U341,I0866,Electronics,W010,1,559.08,559.08,2024-12-15 18:21:16.970811,25,PayPal
T00228,U472,I0892,Furniture,W002,7,681.72,4772.04,2024-10-27 18:21:16.970819,37,PayPal
T00229,U281,I0407,Toys,W007,7,237.24,1660.68,2025-02-16 18:21:16.970829,0,PayPal
T00230,U175,I0811,Clothing,W005,5,517.21,2586.05,2024-09-13 18:21:16.970837,1,PayPal
T00231,U183,I0370,Food,W001,2,912.29,1824.58,2025-02-11 18:21:16.970847,38,Net Banking
T00232,U192,I0857,Clothing,W003,1,517.11,517.11,2025-01-16 18:21:16.970855,12,PayPal
T00233,U249,I0441,Food,W004,5,165.75,828.75,2024-11-14 18:21:16.970864,26,Debit Card
T00234,U235,I0947,Clothing,W002,4,631.54,2526.16,2024-12-05 18:21:16.970874,3,Net Banking
T00235,U083,I0781,Toys,W007,9,596.28,5366.5199999999995,2025-02-18 18:21:16.970882,40,Credit Card
T00236,U093,I0896,Toys,W001,5,36.69,183.45,2025-02-05 18:21:16.970888,19,PayPal
T00237,U373,I0920,Furniture,W003,2,99.69,199.38,2024-09-24 18:21:16.970893,2,Net Banking
T00238,U394,I0651,Clothing,W009,4,165.21,660.84,2024-10-16 18:21:16.970898,22,PayPal
T00239,U312,I0564,Clothing,W002,9,144.93,1304.3700000000001,2024-11-11 18:21:16.970903,1,Debit Card
T00240,U268,I0529,Furniture,W005,8,266.87,2134.96,2025-01-02 18:21:16.970908,15,PayPal
T00241,U417,I0677,Furniture,W004,3,459.56,1378.68,2025-01-27 18:21:16.970914,9,Net Banking
T00242,U120,I0013,Toys,W003,8,378.0,3024.0,2024-09-23 18:21:16.970919,27,Debit Card
T00243,U071,I0702,Toys,W005,2,891.74,1783.48,2025-01-08 18:21:16.970927,43,PayPal
T00244,U017,I0987,Clothing,W006,3,615.99,1847.97,2024-10-11 18:21:16.970936,17,Credit Card
T00245,U253,I0340,Toys,W001,5,877.38,4386.9,2024-12-29 18:21:16.970945,1,PayPal
T00246,U445,I0865,Toys,W002,8,531.77,4254.16,2024-12-31 18:21:16.970954,13,PayPal
T00247,U122,I0874,Clothing,W001,1,98.97,98.97,2024-12-07 18:21:16.970961,43,Debit Card
T00248,U380,I0864,Furniture,W003,4,468.65,1874.6,2025-02-23 18:21:16.970967,19,PayPal
T00249,U010,I0776,Clothing,W008,1,823.81,823.81,2024-09-09 18:21:16.970972,39,Net Banking
T00250,U287,I0312,Electronics,W008,1,202.16,202.16,2025-02-01 18:21:16.970977,22,Net Banking
T00251,U316,I0733,Clothing,W004,5,100.3,501.5,2025-01-13 18:21:16.970982,6,Debit Card
T00252,U326,I0104,Electronics,W006,6,336.14,2016.84,2024-08-30 18:21:16.970988,44,Net Banking
T00253,U273,I0339,Clothing,W009,1,395.01,395.01,2025-02-20 18:21:16.970993,46,Credit Card
T00254,U306,I0198,Electronics,W007,6,313.2,1879.1999999999998,2025-02-16 18:21:16.970998,13,PayPal
T00255,U293,I0300,Electronics,W002,5,143.89,719.4499999999999,2024-09-13 18:21:16.971004,36,Debit Card
T00256,U210,I0444,Clothing,W002,4,258.33,1033.32,2025-02-14 18:21:16.971009,7,Net Banking
T00257,U446,I0359,Toys,W003,5,685.46,3427.3,2024-10-31 18:21:16.971015,49,Credit Card
T00258,U218,I0368,Food,W008,8,392.07,3136.56,2024-09-19 18:21:16.971020,4,Credit Card
T00259,U241,I0169,Toys,W010,9,636.22,5725.9800000000005,2024-11-16 18:21:16.971025,22,Debit Card
